imagen,split,fuente,brillo,contraste,nitidez,ruido,calidad
0002067.jpg,val,Handrise-Read-write+BowTurnHead,83.55,59.07,958.59,1.65,apta
0002068.jpg,val,Handrise-Read-write+BowTurnHead,97.74,71.83,436.41,0.89,apta
0002069.jpg,val,Handrise-Read-write+BowTurnHead,90.51,54.55,988.24,1.13,apta
0002070.jpg,val,Handrise-Read-write+BowTurnHead,97.18,46.83,499.77,0.73,apta
0002071.jpg,val,Handrise-Read-write+BowTurnHead,81.54,59.69,713.75,0.95,apta
0002072.jpg,val,Handrise-Read-write+BowTurnHead,79.36,52.6,891.75,1.1,apta
0002073.jpg,val,Handrise-Read-write+BowTurnHead,86.44,58.07,1054.15,1.09,apta
0002074.jpg,val,Handrise-Read-write,117.23,54.88,674.85,0.81,apta
0002075.jpg,val,Handrise-Read-write,125.27,58.09,482.25,0.67,apta
00030001.jpg,val,Handrise-Read-write+BowTurnHead,117.31,59.24,359.87,1.14,apta
00030002.jpg,val,Handrise-Read-write,91.11,54.75,866.65,1.28,apta
00030003.jpg,val,Handrise-Read-write,133.14,69.24,2595.75,2.49,apta
00030004.jpg,val,Handrise-Read-write,132.19,75.79,1845.85,1.78,apta
00030005.jpg,val,Handrise-Read-write+BowTurnHead,112.94,60.69,919.61,1.47,apta
00030006.jpg,val,Handrise-Read-write,111.63,60.88,975.09,1.48,apta
00030007.jpg,val,Handrise-Read-write,111.95,60.88,857.32,1.34,apta
00030008.jpg,val,Handrise-Read-write,116.59,63.19,958.54,1.5,apta
00030009.jpg,val,Handrise-Read-write,125.75,78.04,1324.51,1.26,apta
00030010.jpg,val,Handrise-Read-write+BowTurnHead,102.63,53.77,336.33,0.96,apta
00030011.jpg,val,Handrise-Read-write,87.66,72.11,575.5,1.1,apta
00030012.jpg,val,Handrise-Read-write+BowTurnHead,101.81,55.16,1365.0,2.32,apta
00030013.jpg,val,Handrise-Read-write+BowTurnHead,96.28,53.5,1674.23,2.98,apta
00030014.jpg,val,Handrise-Read-write+BowTurnHead,96.23,53.34,1679.53,3.03,apta
00030015.jpg,val,Handrise-Read-write,106.96,66.3,199.94,0.52,apta
00030016.jpg,val,Handrise-Read-write+BowTurnHead,167.9,74.68,290.99,0.7,apta
00030017.jpg,val,Handrise-Read-write,168.53,73.26,288.02,0.73,apta
00030018.jpg,val,Handrise-Read-write+BowTurnHead,72.93,45.83,232.95,0.78,apta
00030019.jpg,val,Handrise-Read-write+BowTurnHead,74.06,45.61,259.63,0.79,apta
0006001.jpg,train,Handrise-Read-write,126.81,66.0,1241.1,1.41,apta
0006002.jpg,train,Handrise-Read-write+BowTurnHead,131.58,66.21,966.16,1.16,apta
0006003.jpg,train,Handrise-Read-write,126.86,65.22,865.49,1.11,apta
0006004.jpg,train,Handrise-Read-write+BowTurnHead,116.02,67.67,1039.61,1.22,apta
0006005.jpg,train,Handrise-Read-write+BowTurnHead,119.35,61.49,1005.03,1.28,apta
0006006.jpg,train,Handrise-Read-write+BowTurnHead,128.44,64.64,1037.7,1.3,apta
0006007.jpg,train,Handrise-Read-write+BowTurnHead,119.32,66.75,790.36,0.99,apta
0006008.jpg,train,Handrise-Read-write+BowTurnHead,117.25,67.61,812.19,1.1,apta
0006009.jpg,train,Handrise-Read-write+BowTurnHead,62.77,62.92,1510.35,1.74,apta
0006010.jpg,train,Handrise-Read-write+BowTurnHead,64.71,65.2,1004.68,1.26,apta
0006011.jpg,train,Handrise-Read-write+BowTurnHead,65.36,62.66,1464.61,1.67,apta
0006012.jpg,train,Handrise-Read-write+BowTurnHead,70.18,65.04,1424.16,1.67,apta
0006013.jpg,train,Handrise-Read-write+BowTurnHead,126.04,62.64,634.25,1.1,apta
0006014.jpg,train,Handrise-Read-write+BowTurnHead,109.2,85.02,427.48,0.84,apta
0006015.jpg,train,Handrise-Read-write,105.89,85.62,312.84,0.74,apta
0006016.jpg,train,Handrise-Read-write,112.37,80.69,485.36,0.91,apta
0006017.jpg,train,Handrise-Read-write+BowTurnHead,119.82,77.9,417.87,0.79,apta
0006018.jpg,train,Handrise-Read-write+BowTurnHead,62.62,61.91,1725.8,1.78,apta
0006019.jpg,train,Handrise-Read-write+BowTurnHead,70.52,68.78,1752.53,1.84,apta
0006020.jpg,train,Handrise-Read-write+BowTurnHead,55.72,62.63,1799.53,1.77,no apta
0006021.jpg,train,Handrise-Read-write,63.93,66.16,1710.73,1.81,apta
0006022.jpg,train,Handrise-Read-write+BowTurnHead,74.02,67.9,1753.01,1.81,apta
0008001.jpg,val,Handrise-Read-write+BowTurnHead,108.84,66.37,466.32,0.91,apta
0008005.jpg,val,Handrise-Read-write+BowTurnHead,67.92,70.52,1465.76,1.32,apta
0008006.jpg,val,Handrise-Read-write+BowTurnHead,133.53,66.36,637.47,1.13,apta
0008007.jpg,val,Handrise-Read-write,123.45,64.74,620.69,1.14,apta
0008008.jpg,val,Handrise-Read-write+BowTurnHead,92.25,67.64,2116.23,2.11,apta
0008009.jpg,val,Handrise-Read-write+BowTurnHead,114.45,71.45,1027.04,1.08,apta
0008010.jpg,val,Handrise-Read-write+BowTurnHead,86.3,73.61,693.42,0.86,apta
0008011.jpg,val,Handrise-Read-write+BowTurnHead,87.38,73.29,660.03,0.78,apta
0008012.jpg,val,Handrise-Read-write+BowTurnHead,114.01,70.64,1013.79,1.04,apta
0008013.jpg,val,Handrise-Read-write,109.83,75.05,593.85,0.68,apta
0008014.jpg,val,Handrise-Read-write,119.5,71.69,1238.74,1.21,apta
0008016.jpg,val,Handrise-Read-write,116.74,71.97,1233.21,1.25,apta
0008019.jpg,val,Handrise-Read-write,96.76,60.9,940.25,1.29,apta
0008020.jpg,val,Handrise-Read-write,96.49,60.9,937.79,1.25,apta
0008021.jpg,val,Handrise-Read-write+BowTurnHead,100.38,64.88,619.64,1.3,apta
0008022.jpg,val,Handrise-Read-write,116.43,62.31,678.04,1.16,apta
0008026.jpg,val,Handrise-Read-write,86.67,80.73,480.41,0.69,apta
0008027.jpg,val,Handrise-Read-write,81.67,73.29,532.62,0.82,apta
0008028.jpg,val,Handrise-Read-write+BowTurnHead,93.58,66.42,971.35,1.29,apta
0008029.jpg,val,Handrise-Read-write+BowTurnHead,107.57,62.84,1096.82,1.62,apta
0008030.jpg,val,Handrise-Read-write,93.28,92.06,1354.48,1.49,apta
0008031.jpg,val,Handrise-Read-write,91.87,96.31,1392.14,1.44,apta
0008032.jpg,val,Handrise-Read-write,93.47,95.88,1132.96,1.26,apta
0008033.jpg,val,Handrise-Read-write+BowTurnHead,91.47,91.01,1333.04,1.48,apta
0008034.jpg,val,Handrise-Read-write+BowTurnHead,86.15,91.88,1224.08,1.29,apta
0008035.jpg,val,Handrise-Read-write,108.63,91.34,842.08,0.91,apta
0009001.jpg,val,Handrise-Read-write+BowTurnHead,123.84,65.79,964.21,1.68,apta
0009002.jpg,val,Handrise-Read-write+BowTurnHead,115.59,66.84,2363.06,3.56,apta
0009003.jpg,train,Handrise-Read-write,61.85,67.69,663.36,0.84,apta
0009008.jpg,train,Handrise-Read-write,69.42,68.38,1000.37,1.16,apta
0009013.jpg,val,Handrise-Read-write+BowTurnHead,150.95,61.29,1607.75,2.57,apta
0009014.jpg,val,Handrise-Read-write+BowTurnHead,153.23,62.95,1378.61,2.32,apta
0009015.jpg,val,Handrise-Read-write+BowTurnHead,152.57,61.52,1552.54,2.52,apta
0009016.jpg,val,Handrise-Read-write+BowTurnHead,153.63,61.24,1502.82,2.47,apta
0009017.jpg,val,Handrise-Read-write+BowTurnHead,151.28,63.74,1432.98,2.37,apta
0009018.jpg,val,Handrise-Read-write+BowTurnHead,143.75,70.22,622.44,1.31,apta
0009019.jpg,train,Handrise-Read-write,95.39,68.49,448.57,1.01,apta
0009020.jpg,train,Handrise-Read-write,91.08,60.51,475.31,1.04,apta
0009021.jpg,train,Handrise-Read-write,96.54,64.78,448.43,0.96,apta
0009022.jpg,train,Handrise-Read-write,105.29,69.92,442.83,0.98,apta
0009023.jpg,train,Handrise-Read-write,85.18,61.02,174.13,0.67,apta
0009024.jpg,val,Handrise-Read-write+BowTurnHead,85.66,63.99,558.61,1.19,apta
0009025.jpg,val,Handrise-Read-write+BowTurnHead,139.95,61.51,814.84,1.69,apta
0009026.jpg,train,Handrise-Read-write,114.05,59.86,449.03,0.82,apta
0009027.jpg,train,Handrise-Read-write,120.87,65.34,488.08,0.97,apta
0009028.jpg,val,Handrise-Read-write+BowTurnHead,113.02,59.29,290.76,0.68,apta
0009029.jpg,val,Handrise-Read-write+BowTurnHead,121.64,62.14,370.37,0.78,apta
0009030.jpg,val,Handrise-Read-write+BowTurnHead,121.64,59.78,430.94,0.84,apta
0009031.jpg,val,Handrise-Read-write+BowTurnHead,109.06,70.73,556.4,0.98,apta
0009032.jpg,val,Handrise-Read-write+BowTurnHead,111.96,68.45,669.25,1.06,apta
0009033.jpg,train,Handrise-Read-write,112.84,64.11,466.24,1.19,apta
0009034.jpg,train,Handrise-Read-write,120.23,66.15,814.87,1.75,apta
0009035.jpg,val,Handrise-Read-write+BowTurnHead,123.26,65.05,1024.86,1.77,apta
0009036.jpg,val,Handrise-Read-write+BowTurnHead,125.42,68.54,3055.04,4.16,apta
0009037.jpg,val,Handrise-Read-write+BowTurnHead,70.08,48.0,123.92,0.46,apta
0009038.jpg,train,Handrise-Read-write,148.57,73.02,275.3,0.79,apta
0009039.jpg,train,Handrise-Read-write,105.85,68.46,562.03,1.16,apta
0009046.jpg,val,Handrise-Read-write+BowTurnHead,144.59,76.34,624.64,1.31,apta
0009047.jpg,val,Handrise-Read-write+BowTurnHead,110.03,73.58,1043.35,1.85,apta
0009048.jpg,val,Handrise-Read-write+BowTurnHead,126.16,84.23,1143.05,1.49,apta
0009049.jpg,val,Handrise-Read-write+BowTurnHead,136.38,81.1,1591.0,1.74,apta
0009050.jpg,train,Handrise-Read-write,132.44,77.71,947.54,1.18,apta
0009051.jpg,val,Handrise-Read-write+BowTurnHead,133.23,81.5,1697.09,1.78,apta
0009052.jpg,val,Handrise-Read-write+BowTurnHead,128.37,80.66,1472.43,1.66,apta
0009053.jpg,val,Handrise-Read-write+BowTurnHead,129.96,81.94,1568.33,1.74,apta
0009054.jpg,val,Handrise-Read-write+BowTurnHead,127.58,82.67,705.73,1.01,apta
0011001.jpg,train,Handrise-Read-write+BowTurnHead,145.92,66.08,1064.69,0.61,apta
0011002.jpg,train,Handrise-Read-write,120.32,66.67,835.11,0.9,apta
0011003.jpg,train,Handrise-Read-write+BowTurnHead,126.83,65.88,1383.22,1.15,apta
0011004.jpg,train,Handrise-Read-write+BowTurnHead,118.62,65.42,980.64,1.33,apta
0011005.jpg,train,Handrise-Read-write+BowTurnHead,123.27,65.46,1084.36,1.67,apta
0011006.jpg,train,Handrise-Read-write+BowTurnHead,113.13,72.4,310.02,0.69,apta
0011007.jpg,train,Handrise-Read-write+BowTurnHead,110.54,52.7,327.92,0.6,apta
0011008.jpg,train,Handrise-Read-write+BowTurnHead,106.35,51.92,347.11,0.64,apta
0011009.jpg,train,Handrise-Read-write+BowTurnHead,129.53,77.19,1294.53,0.87,apta
0011011.jpg,train,Handrise-Read-write+BowTurnHead,111.86,72.66,773.28,0.92,apta
0011012.jpg,train,Handrise-Read-write+BowTurnHead,135.23,83.84,691.22,0.69,apta
0011013.jpg,train,Handrise-Read-write+BowTurnHead,89.58,68.83,717.69,0.92,apta
0011014.jpg,train,Handrise-Read-write+BowTurnHead,97.12,77.11,752.26,0.88,apta
0011015.jpg,train,Handrise-Read-write+BowTurnHead,121.34,79.61,1141.1,0.72,apta
0011016.jpg,train,Handrise-Read-write+BowTurnHead,138.43,57.87,741.15,0.87,apta
0011017.jpg,train,Handrise-Read-write,128.4,58.0,852.13,0.93,apta
0011018.jpg,train,Handrise-Read-write+BowTurnHead,149.86,63.25,1268.57,0.99,apta
0011019.jpg,train,Handrise-Read-write+BowTurnHead,110.68,81.8,1167.22,1.16,apta
0011020.jpg,train,Handrise-Read-write+BowTurnHead,115.33,85.58,1732.26,1.46,apta
0011021.jpg,train,Handrise-Read-write+BowTurnHead,87.69,66.89,1156.62,1.05,apta
0011022.jpg,train,Handrise-Read-write,110.03,71.58,504.71,0.66,apta
0011023.jpg,train,Handrise-Read-write,103.03,64.87,629.73,0.72,apta
0011024.jpg,train,Handrise-Read-write,98.11,67.34,683.82,0.86,apta
0011025.jpg,train,Handrise-Read-write,94.89,65.69,695.86,0.76,apta
0011026.jpg,train,Handrise-Read-write,104.65,63.83,905.78,0.92,apta
0011027.jpg,train,Handrise-Read-write+BowTurnHead,87.65,59.87,717.86,0.85,apta
0011028.jpg,train,Handrise-Read-write,102.19,65.35,638.89,0.76,apta
0011029.jpg,train,Handrise-Read-write+BowTurnHead,105.73,47.41,474.76,0.82,apta
0011030.jpg,train,Handrise-Read-write+BowTurnHead,105.49,48.32,470.11,0.87,apta
0011031.jpg,train,Handrise-Read-write+BowTurnHead,127.96,50.18,396.84,0.88,apta
0011032.jpg,train,Handrise-Read-write,127.91,58.9,1440.45,1.07,apta
0011033.jpg,train,Handrise-Read-write+BowTurnHead,140.63,74.8,1374.88,1.08,apta
0011034.jpg,train,Handrise-Read-write+BowTurnHead,124.74,71.5,1495.18,1.67,apta
0011035.jpg,train,Handrise-Read-write+BowTurnHead,104.9,56.22,1339.89,1.42,apta
0011036.jpg,train,Handrise-Read-write,104.51,56.29,1206.77,1.43,apta
0012001.jpg,val,Handrise-Read-write,125.18,44.76,120.57,0.23,apta
0012002.jpg,val,Handrise-Read-write,91.58,65.28,220.34,0.53,apta
0012003.jpg,val,Handrise-Read-write+BowTurnHead,150.72,66.87,773.99,0.84,apta
0012004.jpg,val,Handrise-Read-write+BowTurnHead,147.87,67.61,840.05,0.93,apta
0012005.jpg,val,Handrise-Read-write+BowTurnHead,103.21,69.13,149.19,0.5,apta
0012006.jpg,val,Handrise-Read-write,119.84,64.65,1194.42,1.76,apta
0012007.jpg,val,Handrise-Read-write+BowTurnHead,114.15,80.41,2138.51,1.43,apta
0012008.jpg,val,Handrise-Read-write+BowTurnHead,86.53,65.92,1711.62,1.7,apta
0012009.jpg,val,Handrise-Read-write,112.77,88.1,1293.5,1.43,apta
0012010.jpg,val,Handrise-Read-write,107.38,83.17,1086.23,1.37,apta
0012011.jpg,val,Handrise-Read-write+BowTurnHead,131.96,67.66,1489.93,1.73,apta
0012013.jpg,val,Handrise-Read-write+BowTurnHead,120.14,65.0,1900.59,1.95,apta
0012014.jpg,val,Handrise-Read-write+BowTurnHead,120.71,63.0,1716.95,1.72,apta
0012015.jpg,val,Handrise-Read-write+BowTurnHead,103.0,56.23,1938.77,2.14,apta
0012016.jpg,val,Handrise-Read-write+BowTurnHead,105.64,57.25,1827.63,1.96,apta
0013001.jpg,train,Handrise-Read-write+BowTurnHead,97.29,38.89,395.52,1.01,apta
0013002.jpg,train,Handrise-Read-write+BowTurnHead,90.57,65.26,47.71,0.44,no apta
0013003.jpg,train,Handrise-Read-write+BowTurnHead,95.76,60.01,154.05,0.5,apta
0013004.jpg,train,Handrise-Read-write,96.54,55.36,346.99,0.9,apta
